HRG	876.0	150	normal	ATH
SPU	320.0	58	normal	VIE
STN	691.0	123	lowcost	GDN
LIS	1604.0	228	normal	ATH
TLV	1683.0	259	lowcost	PMI
EWR	3462.0	436	normal	ARN
SZX	5100.0	781	normal	FRA
AMS	241.0	61	lowcost	LGW
ZRH	1621.0	202	normal	AMM
SVQ	349.0	62	normal	ZAZ
FCO	1003.0	194	normal	OPO
BLQ	1500.0	229	normal	TBS
MXP	948.0	162	normal	MSQ
BLL	673.0	117	lowcost	BUD
CPH	484.0	100	lowcost	SZG
DUB	676.0	127	normal	TLS
AMS	1049.0	168	normal	LIS
BSL	327.0	73	lowcost	MPL
AJA	836.0	134	normal	OPO
HAJ	326.0	65	normal	ZRH
ORY	48.0	31	lowcost	CDG
HEL	5376.0	656	lowcost	MRU
FUE	187.0	52	lowcost	TFS
LGW	177.0	62	normal	MAN
MRS	734.0	124	lowcost	TNG
LTN	1246.0	196	lowcost	MLA
MIA	4355.0	573	lowcost	MXP
ARN	3869.0	532	normal	ORD
FCO	3635.0	491	lowcost	BOS
BLQ	1027.0	168	normal	LIS
KTT	1394.0	206	normal	CDG
SVG	192.0	48	normal	OSL
GLA	235.0	69	lowcost	BHX
SZX	5520.0	813	normal	LHR
HEL	85.0	35	normal	TMP
OLB	750.0	117	lowcost	TXL
AGP	387.0	67	normal	ZAZ
FCO	908.0	162	normal	KGD
EWR	4347.0	544	normal	ABJ
BLQ	722.0	121	lowcost	LGW
LPL	896.0	136	lowcost	KRK
AMS	1847.0	278	normal	TBS
ABZ	150.0	39	normal	SYY
MAD	706.0	120	normal	ZRH
HAM	538.0	100	lowcost	RIX
FUE	1733.0	241	normal	DUS
LPA	2818.0	391	lowcost	TOS
LPL	1696.0	249	lowcost	TFS
SKG	659.0	104	lowcost	BLQ
LPA	1542.0	239	lowcost	BRS
MCO	3980.0	505	normal	AMS
BSL	1648.0	248	lowcost	LPA
MLA	1442.0	229	lowcost	DUB
GVA	276.0	66	lowcost	TLS
TRN	983.0	147	normal	ARN
JER	200.0	63	lowcost	LTN
FCO	462.0	93	lowcost	PMI
NCE	183.0	41	lowcost	LYS
YYZ	3820.0	463	normal	WAW
KTW	193.0	48	lowcost	VIE
LHR	570.0	99	normal	INN
LHR	3242.0	454	normal	BWI
PMI	976.0	137	normal	TXL
LPA	2090.0	298	lowcost	SVG
BVA	511.0	92	lowcost	BLQ
TFS	2266.0	320	lowcost	OSL
LPA	1765.0	261	lowcost	FRA
AUH	6134.0	808	normal	JFK
AMS	4251.0	591	lowcost	CUR
MXP	401.0	66	normal	NAP
CMN	187.0	41	normal	TNG
TXL	758.0	124	normal	NAP
CPH	831.0	151	normal	NCE
TBS	1727.0	254	normal	HAM
CMN	349.0	70	lowcost	LIS
SVG	448.0	96	lowcost	MAN
ZNZ	3660.0	492	normal	MXP
KRK	920.0	140	lowcost	MLA
URO	296.0	68	lowcost	LYS
BJL	1666.0	357	lowcost	AGP
BRU	510.0	103	lowcost	NCE
SHE	4465.0	645	normal	NUE
DUS	571.0	87	normal	WAW
OLB	302.0	80	lowcost	MXP
CPH	160.0	64	normal	HAM
VIE	276.0	59	normal	SJJ
HAJ	55.0	59	normal	HAJ
SJJ	226.0	80	normal	AOI
BHX	617.0	107	lowcost	TRN
BUD	338.0	79	normal	WAW
MLA	794.0	133	lowcost	BTS
VBY	109.0	38	normal	BMA
OPO	742.0	123	lowcost	GVA
SVX	1187.0	185	normal	TBS
FUE	1576.0	225	normal	BLQ
RAK	1309.0	198	normal	LIL
AYT	1018.0	165	normal	GYD
AMS	980.0	153	normal	OTP
OSL	2220.0	336	lowcost	ACE
ZRH	376.0	70	normal	VIE
LPA	1018.0	149	lowcost	LCG
HER	1178.0	173	normal	TXL
BRU	870.0	137	normal	PMO
MXP	477.0	106	lowcost	NTE
PUJ	3847.0	493	lowcost	CDG
HKT	4990.0	678	lowcost	ATH
TLS	340.0	76	normal	ORY
LPL	1609.0	248	lowcost	ACE
FCO	2624.0	353	normal	TAS
EMA	964.0	151	lowcost	KEF
BHD	301.0	60	normal	LHR
GLA	4047.0	547	lowcost	MBJ
GVA	447.0	90	normal	LHR
LAX	7770.0	952	normal	AUH
BCN	930.0	149	lowcost	KTW
BOD	449.0	84	lowcost	OPO
MAN	469.0	89	lowcost	HAM
LUX	589.0	105	lowcost	BCN
CPH	472.0	91	normal	LUX
HEL	410.0	73	lowcost	RVN
LCA	1166.0	182	lowcost	RMI
ALG	261.0	51	normal	ALC
FNC	1561.0	239	lowcost	CGN
HAM	1377.0	206	lowcost	AYT
ORY	585.0	99	normal	PMI
BIO	536.0	92	normal	LHR
NCE	1564.0	253	lowcost	TFS
DUB	865.0	146	normal	LIN
BOS	2806.0	378	normal	LIS
EMA	608.0	114	lowcost	SXF
BRU	992.0	150	lowcost	AGP
WRO	1380.0	213	lowcost	LIS
LYS	687.0	109	lowcost	MIR
NAP	933.0	144	normal	LGW
SZG	1906.0	277	lowcost	TFS
SAW	1312.0	200	lowcost	MXP
ETZ	396.0	80	lowcost	NCE
GVA	361.0	83	normal	FRA
FCO	997.0	155	normal	KBP
GVA	303.0	75	lowcost	VCE
ALC	686.0	118	lowcost	GVA
FNC	1584.0	243	lowcost	STR
MIA	4358.0	539	normal	ARN
HAJ	1010.0	140	normal	SVO
KEF	1233.0	175	lowcost	CDG
BRS	4278.0	591	lowcost	CUN
MXP	4996.0	585	normal	PVG
BIO	691.0	122	normal	FRA
OSL	2354.0	362	lowcost	TFS
BIO	723.0	122	lowcost	VCE
WAW	166.0	65	normal	GDN
BTS	997.0	166	lowcost	DUB
LGW	449.0	90	lowcost	HAM
MRS	341.0	94	normal	BSL
LYS	534.0	89	lowcost	VIE
DXB	2348.0	407	lowcost	ESB
TXL	348.0	72	lowcost	VIE
RAK	1076.0	158	lowcost	NCE
NTE	319.0	76	lowcost	LTN
LGW	523.0	105	normal	TRN
FUE	91.0	22	normal	ACE
TFN	824.0	141	normal	BJZ
WAW	968.0	144	lowcost	CTA
MXP	391.0	88	lowcost	VIE
ZRH	617.0	106	normal	BDS
OSL	623.0	114	lowcost	WAW
SOF	884.0	142	lowcost	CGN
VNO	699.0	123	normal	NUE
MRS	803.0	166	lowcost	DUB
LCA	1502.0	191	normal	DXB
BRI	281.0	49	lowcost	PMO
ESB	1344.0	170	normal	JED
ZRH	3370.0	440	normal	NBO
ATH	1222.0	178	lowcost	DUS
SKG	350.0	64	normal	CHQ
TLS	544.0	102	lowcost	FCO
ADB	1151.0	188	lowcost	HAJ
PMO	307.0	61	normal	AJA
OTP	1387.0	211	normal	DUB
EMA	658.0	125	lowcost	PRG
LCG	1025.0	151	lowcost	LPA
FAO	1068.0	162	lowcost	MAN
BSL	336.0	69	lowcost	DRS
LPL	188.0	56	lowcost	GLA
REG	546.0	89	normal	LIN
KBP	239.0	50	normal	ODS
SID	2785.0	310	lowcost	TUN
MRS	199.0	45	normal	AJA
CDG	1524.0	233	normal	FUE
PRG	517.0	162	normal	NCE
MAD	318.0	65	normal	BOD
SAW	1254.0	193	normal	BRU
GVA	643.0	114	normal	CPH
STN	1754.0	266	lowcost	PFO
LJU	969.0	146	lowcost	AYT
ARN	662.0	114	lowcost	DUS
WRO	818.0	132	lowcost	EDI
TRN	1160.0	179	normal	RAK
WAW	600.0	127	normal	VCE
SNN	359.0	69	normal	LHR
HAM	1325.0	217	normal	HER
VRN	464.0	89	lowcost	PMO
LIN	304.0	65	normal	AHO
BUD	872.0	131	normal	SVO
LHR	2311.0	323	normal	GYD
MLE	4322.0	594	normal	ZRH
LBA	1032.0	159	lowcost	VNO
PRG	299.0	69	normal	HAM
LHR	310.0	69	normal	EDI
DUS	1166.0	169	normal	SVO
LCA	1942.0	305	lowcost	LBA
BKK	4795.0	730	lowcost	CPH
RAK	1767.0	252	lowcost	CPH
DUS	417.0	91	lowcost	WRO
EWR	3261.0	405	normal	BRU
FCO	1311.0	206	normal	LED
LYS	310.0	71	lowcost	NTE
VIE	725.0	123	lowcost	LTN
CDG	1890.0	299	normal	EVN
FCO	734.0	120	lowcost	JTR
LPA	150.0	42	lowcost	SPC
OPO	679.0	138	lowcost	CDG
CMN	2729.0	311	normal	JED
TFS	1883.0	268	lowcost	NUE
TFS	2141.0	308	normal	SVG
CGN	1297.0	199	lowcost	HER
MAN	1470.0	230	lowcost	AGA
ZRH	408.0	85	normal	AMS
VIE	807.0	130	lowcost	HRK
AMS	325.0	79	lowcost	ORY
LHR	1331.0	201	normal	ATH
RIX	1160.0	151	lowcost	BHX
DXB	2067.0	295	normal	VKO
FCO	868.0	148	normal	SAW
ORK	975.0	149	lowcost	AGP
RDZ	656.0	130	normal	HUY
LHR	3544.0	486	normal	CLT
BRI	740.0	104	normal	TXL
TNG	1123.0	167	lowcost	STR
AGP	1196.0	176	lowcost	BRE
DFW	1206.0	504	normal	JFK
GVA	1614.0	240	normal	TLV
VIE	568.0	101	lowcost	AMS
GCI	220.0	75	lowcost	BHX
CIA	633.0	112	lowcost	OTP
MAN	1452.0	520	normal	TER
ZRH	3542.0	494	normal	EWR
ICN	4942.0	714	normal	CDG
DJE	1084.0	172	normal	BRU
RHO	169.0	56	normal	JKH
CMN	1199.0	174	normal	BRU
BIO	1125.0	176	normal	TFN
GVA	1635.0	247	lowcost	TLV
CPH	4587.0	631	normal	AUS
HAJ	477.0	84	normal	WAW
GDN	331.0	70	lowcost	HAM
SVO	579.0	112	normal	KGD
FRA	1176.0	196	lowcost	HER
TLV	1572.0	246	normal	MRS
SSH	613.0	122	lowcost	AYT
LGW	1376.0	218	lowcost	AGA
SZG	846.0	144	lowcost	GLA
HAM	870.0	142	lowcost	BCN
DUS	178.0	51	normal	HAJ
CPH	132.0	49	normal	KRP
RNS	402.0	89	lowcost	GVA
LTN	755.0	127	lowcost	KTW
SPC	1684.0	238	lowcost	MAN
LGW	4819.0	666	normal	SJO
ORY	1085.0	175	normal	CMN
EDI	357.0	85	lowcost	SOU
SAW	1363.0	191	normal	JED
LPL	943.0	149	lowcost	WAW
CDG	3815.0	549	normal	ORD
LHR	2951.0	384	normal	BAH
MAN	265.0	86	normal	INV
KLU	428.0	66	lowcost	CGN
STR	444.0	75	normal	CPH
NDR	670.0	114	lowcost	MPL
BRI	490.0	82	lowcost	TRN
GOT	1454.0	225	normal	AGP
AYT	1231.0	184	lowcost	ZRH
ORY	596.0	109	lowcost	VLC
MLA	344.0	70	normal	CAG
PRG	368.0	62	lowcost	DUS
LAX	7480.0	893	normal	JED
ADB	1454.0	210	lowcost	STN
BRU	497.0	99	lowcost	DUB
DUS	1879.0	284	lowcost	TFS
ARN	456.0	93	normal	HAM
FCO	738.0	135	lowcost	RTM
SXF	745.0	127	lowcost	BRI
BSL	752.0	120	lowcost	ALC
LIS	954.0	159	lowcost	LUX
BRU	635.0	111	normal	BIO
BUD	2109.0	318	lowcost	TFS
LHR	3210.0	435	normal	SHJ
LCA	1864.0	273	normal	LTN
LTN	757.0	127	lowcost	VIE
TMP	271.0	56	lowcost	RIX
SXF	1616.0	247	lowcost	RAK
VIE	3998.0	534	normal	MLE
LIN	628.0	100	normal	MLA
MLA	1230.0	191	lowcost	CPH
BSL	853.0	135	lowcost	ARN
SVG	234.0	62	normal	BLL
KAJ	253.0	73	normal	HEL
SVG	629.0	103	normal	TLL
VRN	298.0	88	lowcost	MRS
LPA	340.0	108	normal	PXO
AGP	1012.0	158	normal	ORK
JFK	3208.0	415	lowcost	CDG
VCE	197.0	71	lowcost	MXP
KRK	460.0	86	lowcost	KBP
LGW	469.0	84	normal	INV
ACE	1701.0	255	normal	FRA
ACE	1604.0	225	lowcost	VCE
EDI	1916.0	293	lowcost	AYT
BGO	571.0	98	lowcost	SXF
GDN	274.0	67	normal	KRK
ALC	1078.0	183	normal	LPA
BSL	286.0	52	normal	ORY
PRG	280.0	69	normal	LJU
LDE	569.0	105	lowcost	STN
ATH	1140.0	187	normal	HAM
YUL	2954.0	378	normal	LGW
BRS	813.0	134	lowcost	PMI
BEY	1823.0	270	lowcost	AMS
CMN	1733.0	252	normal	LFW
ARN	1099.0	197	normal	NCE
STR	367.0	82	lowcost	PSA
MLA	197.0	44	normal	PMO
CDG	282.0	62	normal	LRT
HEL	406.0	77	normal	MSQ
BUD	653.0	111	lowcost	LYS
AMS	4855.0	553	normal	ICN
AGP	990.0	149	normal	BRU
AGP	1217.0	190	lowcost	EDI
STN	382.0	79	lowcost	NOC
POZ	655.0	109	normal	LTN
OSL	920.0	158	normal	GVA
MAD	902.0	154	normal	ACE
DUS	1695.0	256	lowcost	ACE
BCN	5387.0	646	normal	PVG
LHR	802.0	149	normal	FCO
ACE	1169.0	174	lowcost	TLS
AMS	3094.0	446	normal	BOS
LCA	123.0	32	normal	BEY
MXP	3744.0	525	normal	YYZ
DUS	419.0	94	lowcost	LYS
OSL	632.0	114	normal	WAW
STN	285.0	66	normal	LUX
EWR	4595.0	571	normal	LFW
MAD	203.0	51	normal	SDR
MAD	176.0	51	normal	VLC
SID	1462.0	206	lowcost	FAO
MLE	4229.0	605	normal	BLQ
SVQ	1167.0	175	lowcost	EDI
SVQ	942.0	140	normal	BRU
BCN	401.0	94	lowcost	NTE
LAX	5156.0	589	normal	BRU
MLA	1018.0	170	lowcost	AGP
GIG	5027.0	637	normal	FCO
ORY	407.0	72	normal	HUY
NCE	207.0	51	normal	GVA
ZRH	714.0	127	normal	MAD
EDI	942.0	157	lowcost	RIX
HER	1246.0	181	normal	CGN
CDG	4059.0	525	normal	DEL
MXP	546.0	96	lowcost	KTW
ADB	1091.0	173	lowcost	BSL
CWL	712.0	122	lowcost	MXP
SJO	5093.0	636	normal	ZRH
ARN	740.0	161	normal	LUX
WAW	1429.0	224	lowcost	OPO
EVN	821.0	137	normal	TLV
BLQ	785.0	125	normal	KIV
MME	268.0	62	normal	AMS
TRD	220.0	55	lowcost	OSL
ABZ	143.0	40	normal	PIK
VAR	199.0	50	normal	SOF
LPA	1788.0	247	lowcost	NCL
OTP	1249.0	197	lowcost	BRS
NCE	843.0	142	normal	WAW
AMS	422.0	87	lowcost	GVA
HAM	1205.0	196	lowcost	ADB
FLR	271.0	62	normal	ZRH
